model,dataset,method,id,true_label,true_cwe,true_lines,pred_label,pred_cwe,pred_lines,raw
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_int_memcpy_18.cpp::bad,1,134,[],1.0,190.0,"[26, 30]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 190,
        ""message"": ""Potential buffer overflow due to insufficient allocation size."",
        ""line_content"": ""data = new int[50];""
    },
    {
        ""severity"": ""High"",
        ""line"": 30,
        ""cwe"": 190,
        ""message"": ""Possible buffer overflow if data < 100."",
        ""line_content"": ""memcpy(data, source, 100*sizeof(int));""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_array_struct_declare_68a.cpp::good,0,89,[],1.0,590.0,[17],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 17,
        ""cwe"": 590,
        ""message"": ""Memory allocated on the stack is being freed."",
        ""line_content"": ""return 0;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_array_struct_declare_68a.cpp::bad,1,89,[],1.0,590.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 590,
        ""message"": ""Memory allocated on the stack is being freed."",
        ""line_content"": ""data = dataBuffer;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s08/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int_memcpy_54b.c::good,0,22,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s08/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int_memcpy_54b.c::bad,1,22,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fscanf_67b.c::good,0,125,[],1.0,122.0,"[38, 42]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 38,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""if (data >= 0)""
    },
    {
        ""severity"": ""High"",
        ""line"": 42,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""buffer[data] = 1;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_fscanf_67b.c::bad,1,125,[],1.0,122.0,[28],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 28,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""if (data >= 0)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s08/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_struct_loop_54a.c::good,0,22,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s08/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_struct_loop_54a.c::bad,1,22,[],1.0,190.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 190,
        ""message"": ""The allocated memory size is too small, which can lead to a buffer overflow."",
        ""line_content"": ""data = (twoIntsStruct *)malloc(50*sizeof(twoIntsStruct));""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__char_sscanf_02.c::good,0,78,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__char_sscanf_02.c::bad,1,78,[],1.0,253.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 253,
        ""message"": ""Incorrect check of function return value. The return value of sscanf should be checked against EOF instead of 0."",
        ""line_content"": ""if (sscanf(SRC_STRING, \""%99s\\0\"", data) == 0)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_array_struct_declare_11.cpp::good,0,89,[],1.0,590.0,[17],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 17,
        ""cwe"": 590,
        ""message"": ""Memory allocated on the stack is being freed with 'delete[]'. This can lead to undefined behavior."",
        ""line_content"": ""return 0;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_array_struct_declare_11.cpp::bad,1,89,[],1.0,590.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 590,
        ""message"": ""Memory allocated on the stack is being freed."",
        ""line_content"": ""delete [] data;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_char_alloca_54d.cpp::good,0,89,[],1.0,590.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 590,
        ""message"": ""Memory deallocation error: 'data' was allocated on the stack with 'alloca()', which should be freed with 'free()' instead of 'delete'."",
        ""line_content"": ""goodG2BSink_e(data);""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_char_alloca_54d.cpp::bad,1,89,[],1.0,78.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 78,
        ""message"": ""The use of 'alloca' can lead to buffer overflows."",
        ""line_content"": ""badSink_e(char * data);""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_listen_socket_54b.c::good,0,125,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_listen_socket_54b.c::bad,1,125,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_68b.c::good,0,125,[],1.0,122.0,"[37, 42]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 37,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""if (data >= 0)""
    },
    {
        ""severity"": ""High"",
        ""line"": 42,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""buffer[data] = 1;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE129_rand_68b.c::bad,1,125,[],1.0,122.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 122,
        ""message"": ""Potential heap-based buffer overflow due to improper bounds checking."",
        ""line_content"": ""if (data >= 0)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_cpy_03.c::good,0,125,[],1.0,122.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 122,
        ""message"": ""Heap-based buffer overflow due to insufficient allocation for the null terminator."",
        ""line_content"": ""char *data = (char *)malloc(SRC_STRING);""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s06/CWE122_Heap_Based_Buffer_Overflow__c_CWE193_char_cpy_03.c::bad,1,125,[],1.0,190.0,"[26, 30]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 190,
        ""message"": ""The allocated memory for 'data' is only 10 bytes, which is not enough to hold the 11 characters of 'source' including the null terminator."",
        ""line_content"": ""data = (char *)malloc(10*sizeof(char));""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 30,
        ""cwe"": 88,
        ""message"": ""The use of strcpy can lead to buffer overflow if the source string is longer than the destination buffer."",
        ""line_content"": ""strcpy(data, source);""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_class_declare_31.cpp::good,0,89,[],1.0,590.0,[17],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 17,
        ""cwe"": 590,
        ""message"": ""Memory allocated on the stack is being freed with 'delete'. This can lead to undefined behavior."",
        ""line_content"": ""return 0;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_class_declare_31.cpp::bad,1,89,[],1.0,78.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 78,
        ""message"": ""The variable 'data' is being freed after being allocated on the stack."",
        ""line_content"": ""delete data;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s08/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_loop_54e.c::good,0,22,[],1.0,190.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 190,
        ""message"": ""Potential buffer overflow due to incorrect loop condition."",
        ""line_content"": ""for (i = 0; i < 100; i++)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s08/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_loop_54e.c::bad,1,22,[],1.0,190.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 190,
        ""message"": ""Potential buffer overflow due to insufficient bounds checking on 'data'"",
        ""line_content"": ""for (i = 0; i < 100; i++)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__char_remove_05.c::good,0,78,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__char_remove_05.c::bad,1,78,[],1.0,253.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 253,
        ""message"": ""The function 'remove()' might fail, but the return value is checked against 0 instead of being compared to a non-zero value."",
        ""line_content"": ""if (REMOVE(\""removemebad.txt\"") == 0)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__wchar_t_w32CreateMutex_02.c::good,0,78,[],1.0,253.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 253,
        ""message"": ""The function call to CreateMutexW() lacks a proper error check."",
        ""line_content"": ""hMutex = CreateMutexW(NULL, FALSE, L\""Global\\MyMutex\"");""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__wchar_t_w32CreateMutex_02.c::bad,1,78,[],1.0,253.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 253,
        ""message"": ""Incorrect check of function return value. The return value should be checked against NULL instead of INVALID_HANDLE_VALUE."",
        ""line_content"": ""if (hMutex == INVALID_HANDLE_VALUE)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_char_placement_new_41.cpp::good,0,89,[],1.0,590.0,[17],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 17,
        ""cwe"": 590,
        ""message"": ""Memory allocated on the stack is being freed with 'delete'. This can lead to undefined behavior."",
        ""line_content"": ""return 0;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_char_placement_new_41.cpp::bad,1,89,[],,,[],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 78,
        ""message"": ""The use of `new` operator inside a buffer on the stack can lead to undefined behavior."",
        ""line_content"": ""char * dataBuffer = new(buffer) char;""
    },
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 78,
        ""message"": ""The use of `new` operator inside a buffer on the stack can lead to undefined behavior."",
        ""line_content"": ""*dataBuffer = 'A';""
    },
    {
        ""severity"": ""High"",
        ""line"": 28,
        ""cwe"": 78,
        ""message"": ""The use of `new` operator inside a buffer on the stack can lead to undefined behavior."",
        ""line_content"": ""data = dataBuffer;""
    },
    {
        ""severity"": ""High"",
        ""line"": 32,
        ""cwe"": 78,
        ""message"": ""The use of `new` operator inside a buffer on the stack can lead to undefined behavior."",
        ""line_content"": """
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__char_fprintf_04.c::good,0,78,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__char_fprintf_04.c::bad,1,78,[],1.0,253.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 253,
        ""message"": ""Incorrect check of function return value. The return value of fprintf() is checked against 0 instead of being compared with a negative value."",
        ""line_content"": ""if (fprintf(stdout, \""%s\\n\"", \""string\"") == 0)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__w32_ImpersonateSelf_03.c::good,0,78,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE253_Incorrect_Check_of_Function_Return_Value/CWE253_Incorrect_Check_of_Function_Return_Value__w32_ImpersonateSelf_03.c::bad,1,78,[],1.0,253.0,[26],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 26,
        ""cwe"": 253,
        ""message"": ""The function ImpersonateSelf() returns 0 on failure, but the code checks if the return value is greater than zero."",
        ""line_content"": ""if (ImpersonateSelf(SecurityImpersonation) > 0)""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_int64_t_memcpy_54c.cpp::good,0,134,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s03/CWE122_Heap_Based_Buffer_Overflow__cpp_CWE805_int64_t_memcpy_54c.cpp::bad,1,134,[],0.0,,[],"```json
[]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_char_alloca_64b.cpp::good,0,89,[],1.0,590.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 590,
        ""message"": ""Memory deallocated using 'delete' instead of 'free', which was allocated on the stack."",
        ""line_content"": ""delete data;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE590_Free_Memory_Not_on_Heap/s02/CWE590_Free_Memory_Not_on_Heap__delete_char_alloca_64b.cpp::bad,1,89,[],1.0,590.0,[27],"```json
[
    {
        ""severity"": ""High"",
        ""line"": 27,
        ""cwe"": 590,
        ""message"": ""Memory deallocated using 'delete' instead of 'free', which was allocated on the stack."",
        ""line_content"": ""delete data;""
    }
]
```"
qwen25_coder_7b,Juliet_overlap_250,baseline,juliet::testcases/CWE122_Heap_Based_Buffer_Overflow/s08/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int_loop_74a.cpp::good,0,22,[],0.0,,[],"```json
[]
```"
