model,dataset,method,id,true_label,true_cwe,true_lines,pred_label,pred_cwe,pred_lines,retrieved_mistake_ids,retrieved_scores,retrieved_error_types,retrieved_true_cwes,retrieved_pred_cwes,raw
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,78-10,0,78,[],1,78.0,"[17, 18, 20]","[""78-10"", ""78-8"", ""78-9""]","[0.9924035276692049, 0.5769817150922005, 0.26503519333896947]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(78), np.int64(78), np.int64(78)]""","[78.0, 78.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 17,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of `strcat` with user input."",
        ""line_content"": ""strcat(sys, cmd);""
    },
    {
        ""severity"": ""High"",
        ""line"": 18,
        ""cwe"": 78,
        ""message"": ""Command injection vulnerability due to use of `strcat` with user input."",
        ""line_content"": ""strcat(sys, buff);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 20,
        ""cwe"": 0,
        ""message"": ""Potential buffer overflow in `strcpy` call."",
        ""line_content"": ""strcpy(__buff, buf);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,89-1,1,89,"[25, 28]",1,89.0,[14],"[""89-10"", ""522-10"", ""89-8""]","[0.9755667948709957, 0.6108792751196318, 0.4369414950473301]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(89), np.int64(522), np.int64(89)]""","[89.0, 89.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 14,
        ""cwe"": 89,
        ""message"": ""SQL Injection vulnerability due to use of user input directly in SQL query."",
        ""line_content"": ""snprintf(sql, sizeof(sql), \""SELECT * FROM existential_crises WHERE id = '%s'\"", id);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,89-2,1,89,"[40, 43]",1,89.0,[22],"[""89-8"", ""522-9"", ""89-10""]","[0.9578067009271956, 0.9409897126485108, 0.34198490590557196]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(89), np.int64(522), np.int64(89)]""","[89.0, 89.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 22,
        ""cwe"": 89,
        ""message"": ""SQL Injection vulnerability due to direct use of user input in SQL query."",
        ""line_content"": ""snprintf(sql, sizeof(sql), \""SELECT * FROM tokens WHERE id = %s\"", id);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,89-3,1,89,"[121, 122]",1,89.0,[42],"[""522-9"", ""89-8"", ""798-8""]","[0.6008546422496088, 0.5216533007315947, 0.36483013884833165]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(522), np.int64(89), np.int64(798)]""","[89.0, 89.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 42,
        ""cwe"": 89,
        ""message"": ""SQL Injection vulnerability due to use of user-supplied input in SQL query."",
        ""line_content"": ""sprintf(query, fmtString, argv[1]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,89-4,1,89,"[123, 125]",1,89.0,[42],"[""522-9"", ""89-8"", ""798-8""]","[0.6141335847122125, 0.5427867508652926, 0.3851470281634863]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(522), np.int64(89), np.int64(798)]""","[89.0, 89.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 42,
        ""cwe"": 89,
        ""message"": ""SQL Injection vulnerability due to use of user-supplied input in SQL query."",
        ""line_content"": ""sprintf(query, fmtString, argv[i]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,89-5,1,89,"[55, 58]",1,89.0,[22],"[""89-8"", ""522-9"", ""89-10""]","[0.9955941559242767, 0.87595572983369, 0.3834976564580496]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(89), np.int64(522), np.int64(89)]""","[89.0, 89.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 22,
        ""cwe"": 89,
        ""message"": ""SQL Injection vulnerability due to direct use of user input in SQL query."",
        ""line_content"": ""snprintf(sql, sizeof(sql), \""SELECT * FROM tokens WHERE id = %s\"", id);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,89-6,1,89,"[126, 128]",1,89.0,[42],"[""522-9"", ""89-8"", ""798-8""]","[0.6209235737934409, 0.5395295258185183, 0.36128662665242534]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(522), np.int64(89), np.int64(798)]""","[89.0, 89.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 42,
        ""cwe"": 89,
        ""message"": ""SQL Injection vulnerability due to use of user-supplied input in SQL query."",
        ""line_content"": ""sprintf(query, fmtString, argv[1]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,89-7,0,89,[],0,,[],"[""89-10"", ""522-10"", ""798-8""]","[0.8728283102859552, 0.6973288743114116, 0.4624756642210066]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(89), np.int64(522), np.int64(798)]""","[89.0, 89.0, 89.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,89-8,0,89,[],1,89.0,[24],"[""89-8"", ""522-9"", ""89-10""]","[0.9969126856651356, 0.8626744697956495, 0.38879751815836794]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(89), np.int64(522), np.int64(89)]""","[89.0, 89.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 24,
        ""cwe"": 89,
        ""message"": ""SQL Injection vulnerability due to direct use of user input in SQL query."",
        ""line_content"": ""snprintf(sql, sizeof(sql), \""SELECT * FROM tokens WHERE id = %s\"", id);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,89-9,0,89,[],1,89.0,[42],"[""522-9"", ""89-8"", ""798-8""]","[0.6230913970822026, 0.5492977944566111, 0.36484356015996927]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(522), np.int64(89), np.int64(798)]""","[89.0, 89.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 42,
        ""cwe"": 89,
        ""message"": ""SQL Injection vulnerability due to use of user-supplied input in SQL query without proper sanitization."",
        ""line_content"": ""sprintf(query, fmtString, param_escaped);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,89-10,0,89,[],1,89.0,[11],"[""89-10"", ""522-10"", ""798-8""]","[0.9950234997268408, 0.6399691800541738, 0.43542157359693323]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(89), np.int64(522), np.int64(798)]""","[89.0, 89.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 11,
        ""cwe"": 89,
        ""message"": ""SQL Injection vulnerability due to use of user-supplied input directly in SQL query."",
        ""line_content"": ""char sql[256];""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,125-1,1,125,[7],1,125.0,[6],"[""415-9"", ""125-9"", ""617-4""]","[0.5092838429549156, 0.4756165283087923, 0.4451468454150665]","[""false_positive"", ""false_positive"", ""false_negative""]","""[np.int64(415), np.int64(125), np.int64(617)]""","[190.0, 190.0, NaN]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 6,
        ""cwe"": 125,
        ""message"": ""Array index out of bounds access."",
        ""line_content"": ""printf(\""%d\\n\"", array[i]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,125-2,1,125,[8],1,125.0,"[4, 7]","[""125-9"", ""617-4"", ""787-10""]","[0.7085020036745746, 0.6837954631512909, 0.6469968545603293]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(125), np.int64(617), np.int64(787)]""","[190.0, NaN, 190.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 4,
        ""cwe"": 125,
        ""message"": ""Buffer overflow due to out-of-bounds write."",
        ""line_content"": ""nondet[i]=i;""
    },
    {
        ""severity"": ""High"",
        ""line"": 7,
        ""cwe"": 125,
        ""message"": ""Buffer overflow due to out-of-bounds read."",
        ""line_content"": ""printf(\""%d\\n\"", nondet[i]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,125-3,1,125,[8],0,,[],"[""125-9"", ""617-4"", ""787-10""]","[0.5136923818897652, 0.4923512205829455, 0.4683892433848341]","[""false_positive"", ""false_negative"", ""false_positive""]","""[np.int64(125), np.int64(617), np.int64(787)]""","[190.0, NaN, 190.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,125-4,1,125,[13],0,,[],"[""125-4"", ""125-9"", ""787-7""]","[0.9826212195402928, 0.43461202297459534, 0.4091901965507111]","[""false_negative"", ""false_positive"", ""false_positive""]","""[np.int64(125), np.int64(125), np.int64(787)]""","[NaN, 190.0, 680.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,125-5,1,125,"[9, 11]",1,190.0,[6],"[""617-4"", ""125-9"", ""787-7""]","[0.6863024579462679, 0.6779486772975694, 0.6695972604123039]","[""false_negative"", ""false_positive"", ""false_positive""]","""[np.int64(617), np.int64(125), np.int64(787)]""","[NaN, 190.0, 680.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 6,
        ""cwe"": 190,
        ""message"": ""Array index out of bounds access."",
        ""line_content"": ""printf(\""%d, \"", a[i]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,125-6,1,125,"[41, 50]",0,,[],"[""787-7"", ""476-7"", ""617-4""]","[0.4329539560390762, 0.412789977787777, 0.35638951722734225]","[""false_positive"", ""false_positive"", ""false_negative""]","""[np.int64(787), np.int64(476), np.int64(617)]""","[680.0, 680.0, NaN]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,125-7,0,125,[],0,,[],"[""617-4"", ""761-8"", ""125-9""]","[0.686334788407055, 0.6468566426730449, 0.635209191924277]","[""false_negative"", ""false_positive"", ""false_positive""]","""[np.int64(617), np.int64(761), np.int64(125)]""","[NaN, 415.0, 190.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,125-8,0,125,[],0,,[],"[""761-1"", ""78-9"", ""369-8""]","[0.42795615339237547, 0.3033947151507246, 0.18599008675526274]","[""false_negative"", ""false_positive"", ""false_positive""]","""[np.int64(761), np.int64(78), np.int64(369)]""","[NaN, 78.0, 369.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,125-9,0,125,[],1,125.0,"[10, 12]","[""125-9"", ""787-10"", ""787-7""]","[0.9711571963059171, 0.9081236039837892, 0.5409125897051132]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(125), np.int64(787), np.int64(787)]""","[190.0, 190.0, 680.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 10,
        ""cwe"": 125,
        ""message"": ""Array index out of bounds access."",
        ""line_content"": ""printf(\""%d, \"", a[i]);""
    },
    {
        ""severity"": ""High"",
        ""line"": 12,
        ""cwe"": 125,
        ""message"": ""Array index out of bounds access."",
        ""line_content"": ""printf(\""Special elem: %d\\n\"", a[INT_MAX]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,125-10,0,125,[],0,,[],"[""787-7"", ""476-7"", ""617-4""]","[0.42859203803820517, 0.4086312075315486, 0.35279896948240963]","[""false_positive"", ""false_positive"", ""false_negative""]","""[np.int64(787), np.int64(476), np.int64(617)]""","[680.0, 680.0, NaN]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,134-1,1,134,[9],1,114.0,[7],"[""134-7"", ""134-9"", ""134-8""]","[0.9206707302028116, 0.5780785804379366, 0.3628682717187942]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(134), np.int64(134), np.int64(134)]""","[89.0, 190.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 7,
        ""cwe"": 114,
        ""message"": ""Potential buffer overflow due to direct use of user-supplied input."",
        ""line_content"": ""printf(argv[1]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,134-2,1,134,[9],1,114.0,[6],"[""134-9"", ""134-8"", ""134-7""]","[0.8187409868757, 0.757226128263897, 0.38993191365569957]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(134), np.int64(134), np.int64(134)]""","[190.0, 89.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 6,
        ""cwe"": 114,
        ""message"": ""Potential format string vulnerability due to use of printf with user-controlled input."",
        ""line_content"": ""printf(buffer);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,134-3,1,134,"[4, 13]",1,114.0,[7],"[""134-8"", ""134-9"", ""253-8""]","[0.952957587072192, 0.6304394772615847, 0.3043769246996671]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(134), np.int64(134), np.int64(253)]""","[89.0, 190.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 7,
        ""cwe"": 114,
        ""message"": ""Potential format string vulnerability in 'logger' function."",
        ""line_content"": ""logger(buffer);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,134-4,1,134,"[6, 21, 23]",1,190.0,"[10, 12]","[""134-8"", ""134-9"", ""253-8""]","[0.864248530298577, 0.6714211323136606, 0.35946423935919464]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(134), np.int64(134), np.int64(253)]""","[89.0, 190.0, 78.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 10,
        ""cwe"": 190,
        ""message"": ""Buffer overflow risk due to use of strcpy without proper bounds checking."",
        ""line_content"": ""strcpy(combined, buffer);""
    },
    {
        ""severity"": ""Medium"",
        ""line"": 12,
        ""cwe"": 190,
        ""message"": ""Potential buffer overflow risk due to use of strncat without proper bounds checking."",
        ""line_content"": ""strncat(combined, buffer, sizeof(combined) - strlen(buffer) - 1);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,134-5,1,134,"[6, 7]",1,114.0,[5],"[""134-9"", ""134-8"", ""134-7""]","[0.9377445469175402, 0.6773414684614137, 0.5370476162612154]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(134), np.int64(134), np.int64(134)]""","[190.0, 89.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 5,
        ""cwe"": 114,
        ""message"": ""Buffer overflow due to use of snprintf with user-controlled input."",
        ""line_content"": ""snprintf(buffer, sizeof(buffer), argv[1]);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,134-6,1,134,"[17, 18]",1,190.0,[10],"[""134-7"", ""134-9"", ""89-8""]","[0.5743025379280877, 0.448671946020173, 0.38175821884928796]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(134), np.int64(134), np.int64(89)]""","[89.0, 190.0, 89.0]","```json
[
    {
        ""severity"": ""High"",
        ""line"": 10,
        ""cwe"": 190,
        ""message"": ""Potential format string vulnerability due to use of user-supplied input in format specifier."",
        ""line_content"": ""printf(formatter, id);""
    }
]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,134-7,0,134,[],0,,[],"[""134-7"", ""134-9"", ""134-8""]","[0.925772266412008, 0.5891782463191901, 0.3643788537436207]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(134), np.int64(134), np.int64(134)]""","[89.0, 190.0, 89.0]","```json
[]
```"
qwen25_coder_7b,CASTLE_all_250,C_errorlock_same_dataset,134-8,0,134,[],0,,[],"[""134-8"", ""134-9"", ""134-7""]","[0.9579283404032681, 0.6458386418377428, 0.3246076580529103]","[""false_positive"", ""false_positive"", ""false_positive""]","""[np.int64(134), np.int64(134), np.int64(134)]""","[89.0, 190.0, 89.0]","```json
[]
```"
